run_id,step,val_loss,train_time_ms,attn_gate,learning_rate
d8ccd85e-ab0b-4251-bda0-b00f25577e14,0,16.0277,319,none,0.00468
d8ccd85e-ab0b-4251-bda0-b00f25577e14,125,4.9892,45565,none,0.00468
d8ccd85e-ab0b-4251-bda0-b00f25577e14,250,4.3575,95981,none,0.00468
d8ccd85e-ab0b-4251-bda0-b00f25577e14,375,4.0581,145269,none,0.00468
d8ccd85e-ab0b-4251-bda0-b00f25577e14,500,3.9104,195574,none,0.00468
d8ccd85e-ab0b-4251-bda0-b00f25577e14,625,3.8156,245738,none,0.00468
d8ccd85e-ab0b-4251-bda0-b00f25577e14,750,3.7483,295090,none,0.00468
d8ccd85e-ab0b-4251-bda0-b00f25577e14,875,3.6924,345743,none,0.00468
d8ccd85e-ab0b-4251-bda0-b00f25577e14,1000,3.6448,396384,none,0.00468
d8ccd85e-ab0b-4251-bda0-b00f25577e14,1125,3.6073,445844,none,0.00468
d8ccd85e-ab0b-4251-bda0-b00f25577e14,1250,3.5738,496069,none,0.00468
d8ccd85e-ab0b-4251-bda0-b00f25577e14,1375,3.5478,546451,none,0.00468
d8ccd85e-ab0b-4251-bda0-b00f25577e14,1500,3.532,595719,none,0.00468
98e5c27a-7c22-4f8f-8002-5ec95c986d6b,0,16.0297,249,none,0.00468
98e5c27a-7c22-4f8f-8002-5ec95c986d6b,125,4.9597,45159,none,0.00468
98e5c27a-7c22-4f8f-8002-5ec95c986d6b,250,4.3282,95252,none,0.00468
98e5c27a-7c22-4f8f-8002-5ec95c986d6b,375,4.044,144390,none,0.00468
98e5c27a-7c22-4f8f-8002-5ec95c986d6b,500,3.9001,194493,none,0.00468
98e5c27a-7c22-4f8f-8002-5ec95c986d6b,625,3.8057,244474,none,0.00468
98e5c27a-7c22-4f8f-8002-5ec95c986d6b,750,3.7411,293672,none,0.00468
98e5c27a-7c22-4f8f-8002-5ec95c986d6b,875,3.6861,343568,none,0.00468
98e5c27a-7c22-4f8f-8002-5ec95c986d6b,1000,3.6393,393660,none,0.00468
98e5c27a-7c22-4f8f-8002-5ec95c986d6b,1125,3.602,442839,none,0.00468
98e5c27a-7c22-4f8f-8002-5ec95c986d6b,1250,3.5687,492859,none,0.00468
98e5c27a-7c22-4f8f-8002-5ec95c986d6b,1375,3.5432,548715,none,0.00468
98e5c27a-7c22-4f8f-8002-5ec95c986d6b,1500,3.5276,597868,none,0.00468
18bee9bc-ccd7-4c34-a4a6-14e945769171,0,16.0092,245,elementwise,0.00468
18bee9bc-ccd7-4c34-a4a6-14e945769171,125,4.9251,48028,elementwise,0.00468
18bee9bc-ccd7-4c34-a4a6-14e945769171,250,4.3285,101106,elementwise,0.00468
18bee9bc-ccd7-4c34-a4a6-14e945769171,375,4.0317,153222,elementwise,0.00468
18bee9bc-ccd7-4c34-a4a6-14e945769171,500,3.8852,206247,elementwise,0.00468
18bee9bc-ccd7-4c34-a4a6-14e945769171,625,3.7908,259083,elementwise,0.00468
18bee9bc-ccd7-4c34-a4a6-14e945769171,750,3.7233,311171,elementwise,0.00468
18bee9bc-ccd7-4c34-a4a6-14e945769171,875,3.6683,364032,elementwise,0.00468
18bee9bc-ccd7-4c34-a4a6-14e945769171,1000,3.6218,416998,elementwise,0.00468
18bee9bc-ccd7-4c34-a4a6-14e945769171,1125,3.5845,469086,elementwise,0.00468
18bee9bc-ccd7-4c34-a4a6-14e945769171,1250,3.5516,522084,elementwise,0.00468
18bee9bc-ccd7-4c34-a4a6-14e945769171,1375,3.526,575900,elementwise,0.00468
18bee9bc-ccd7-4c34-a4a6-14e945769171,1500,3.5107,628282,elementwise,0.00468
61a24362-b17b-4040-b290-3235f22e4f07,0,16.0015,248,elementwise,0.00468
61a24362-b17b-4040-b290-3235f22e4f07,125,4.9271,47926,elementwise,0.00468
61a24362-b17b-4040-b290-3235f22e4f07,250,4.3157,101583,elementwise,0.00468
61a24362-b17b-4040-b290-3235f22e4f07,375,4.0283,154483,elementwise,0.00468
61a24362-b17b-4040-b290-3235f22e4f07,500,3.8834,208499,elementwise,0.00468
61a24362-b17b-4040-b290-3235f22e4f07,625,3.7884,261891,elementwise,0.00468
61a24362-b17b-4040-b290-3235f22e4f07,750,3.7222,314391,elementwise,0.00468
61a24362-b17b-4040-b290-3235f22e4f07,875,3.6663,367449,elementwise,0.00468
61a24362-b17b-4040-b290-3235f22e4f07,1000,3.6199,420547,elementwise,0.00468
61a24362-b17b-4040-b290-3235f22e4f07,1125,3.5828,472866,elementwise,0.00468
61a24362-b17b-4040-b290-3235f22e4f07,1250,3.5496,525983,elementwise,0.00468
61a24362-b17b-4040-b290-3235f22e4f07,1375,3.5243,579175,elementwise,0.00468
61a24362-b17b-4040-b290-3235f22e4f07,1500,3.5091,631295,elementwise,0.00468
